source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'abc-news', 'name': 'ABC News'}","DANIEL NIEMANN Associated Press, MIKE CORDER Associated Press",Nobel Prize in physics awarded to two scientists for machine learning discoveries,John Hopfield and Geoffrey Hinton have been awarded the Nobel Prize in physics for discoveries and inventions that formed the building blocks of machine learning,https://abcnews.go.com/International/wireStory/nobel-prize-physics-awarded-day-after-2-americans-114587561,https://i.abcnewsfe.com/a/54e932f5-9067-4c0e-83f5-716f5ef3f71e/wirestory_fc0567de3f2ca45f81a7359a017cd542_16x9.jpg?w=1600,2024-10-08T07:50:44Z,"STOCKHOLM -- John Hopfield and Geoffrey Hinton were awarded the Nobel Prize in physics Tuesday for discoveries and inventions that formed the building blocks of machine learning.
This years two Nobe… [+2347 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",Jon Haworth,"US Marshals arrest man 5 months after he allegedly shot somebody in the head, set them on fire","Michael Hurley, 37, had been wanted in Ohio for aggravated murder since May.",https://abcnews.go.com/US/us-marshals-arrest-man-5-months-after-allegedly/story?id=114586967,https://i.abcnewsfe.com/a/c76e1826-154b-439e-b8d2-c0cbc662f924/police-tape-cars-gty-jt-230510_1683751598051_hpMain_16x9.jpg?w=1600,2024-10-08T07:06:06Z,"The U.S. Marshals have arrested a man who has eluded authorities for five months after they say he shot somebody in the head before setting them on fire, authorities said.
Michael H. Hurley, 37, has… [+1487 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",Jon Haworth,40-year-old man falls 200 feet to his death while canyoneering at national park,The man was hiking with three others through Heaps Canyon when he fell.,https://abcnews.go.com/US/40-year-man-falls-200-feet-death-canyoneering/story?id=114586730,https://i.abcnewsfe.com/a/97fc8f40-f443-49ac-8f1f-17fa598f8c02/Pedestrian-BikeEntranceMonument_11122021_01_1728369168562_hpMain_16x9.jpg?w=1600,2024-10-08T06:38:09Z,"A 40-year-old man has fallen approximately 200 feet to his death while canyoneering with three others at Zion National Park in Utah, authorities confirmed.
The incident occurred on Saturday when the… [+1529 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",Jolie Lash,3 dead in medical helicopter crash,The three were on their way to pick up a patient when the incident happened.,https://abcnews.go.com/US/3-dead-medical-helicopter-crash/story?id=114584811,https://i.abcnewsfe.com/a/fbf77b0a-3820-41b0-b799-5cd3a42608a7/GettyImages-1591800929_1728358262423_hpMain_16x9.jpg?w=1600,2024-10-08T03:29:00Z,"Three members of a medical helicopter team died Monday in an accident in Kentucky, the company that runs the service confirmed in a statement.
""Air Evac Lifeteam is heartbroken to share that three c… [+1032 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}","Will McDuffie, Gabriella Abdul-Hakim, Fritz Farrow","Harris, pressed on how she’d get economic plan through Congress, suggests there might be a path","Harris has proposed tax credits, including for parents and first-time homebuyers",https://abcnews.go.com/Politics/harris-pressed-shed-economic-plan-congress-suggests-path/story?id=114565146,https://i.abcnewsfe.com/a/149a2e09-08d7-4653-a265-bfa7d50244a3/kamala-harris-01-gty-jef-241007_1728316797953_hpMain_16x9.jpg?w=1600,2024-10-08T01:25:00Z,"Vice President Kamala Harris indicated in a CBS News ""60 Minutes"" interview Monday that she could get her economic policies through a Republican-controlled Congress, despite the potential for opposit… [+3959 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}","Deena Zaru, Tesfaye Negussie",Former officer convicted in Tyre Nichols' death to be held without bond until sentencing,The two other former Memphis officers are allowed to be on supervised release.,https://abcnews.go.com/US/former-officer-convicted-tyre-nichols-death-held-bond/story?id=114560040,https://i.abcnewsfe.com/a/ff1cd9fa-3206-40b0-bd54-aac565b3918f/tyre-nichols-gty-jef-240909_1725886100020_hpMain_16x9.jpg?w=1600,2024-10-07T22:43:00Z,"A federal judge on Monday ordered Demetrius Haley, one of the three former Memphis Police officers convicted in the beating death of Tyre Nichols, to be held without bond until sentencing on Jan. 22,… [+3179 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",Shannon K. Kingston,"After a year of war in Gaza, American diplomacy proves futile so far: ANALYSIS",Experts say failure to resolve the conflict will have lasting effects for U.S.,https://abcnews.go.com/Politics/after-year-war-gaza-american-diplomacy-proves-futile-analysis/story?id=114558519,https://i.abcnewsfe.com/a/46fb0d69-98d5-4459-b355-375b099eb672/gaza-strip-war-gty-lv-241007_1728338747955_hpMain_16x9.jpg?w=1600,2024-10-07T22:29:30Z,"During Secretary of State Antony Blinken's first emergency mission to the Middle East in the wake of Hamas' Oct. 7 terror attack, he emerged from a marathon session of meetings in an Israeli command … [+8543 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",MORGAN LEE Associated Press,Movie armorer on Alec Baldwin's film 'Rust' pleads guilty to gun charge in separate case,She pleaded guilty to carrying a gun into a license liquor establishment.,https://abcnews.go.com/US/wireStory/movie-armorer-alec-baldwins-film-rust-pleads-guilty-114579606,https://i.abcnewsfe.com/a/4adc877c-10a5-4294-9d94-d8d6083347a0/wirestory_623ed5fb65687f6f638a0c8a6157ba7f_16x9.jpg?w=1600,2024-10-07T22:02:57Z,"SANTA FE, N.M. -- The weapons supervisor in the fatal shooting of a cinematographer by Alec Baldwin on the set of the Western film Rust"" pleaded guilty Monday to a separate criminal charge of carryin… [+2459 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}",BRUCE SHIPKOWSKI Associated Press,"American Water, largest water utility in US, dealing with cyberattack","American Water serves 14 million people in 14 states, 18 military installations.",https://abcnews.go.com/Technology/wireStory/american-water-largest-water-utility-us-dealing-cyberattack-114579099,https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_16x9_992.jpg,2024-10-07T21:51:07Z,"The largest regulated water and wastewater utility company in the United States announced Monday that it was the victim of a cyberattack, prompting the firm to pause billing to customers.
New Jersey… [+885 chars]"
"{'id': 'abc-news', 'name': 'ABC News'}","Jay O'Brien, Julia Reinstein",Florida Gov. Ron DeSantis refuses call from VP Kamala Harris ahead of Hurricane Milton: Source,"DeSantis believed the call was politically motivated, a source said.",https://abcnews.go.com/US/florida-gov-ron-desantis-refuses-call-vp-kamala/story?id=114570089,https://i.abcnewsfe.com/a/9aec247d-4e97-4962-a741-459e1709e36b/Milton-prep-6-ap-jm-241007_1728319502617_hpMain_16x9.jpg?w=1600,2024-10-07T19:10:00Z,"Florida Gov. Ron DeSantis has refused to take a call with Vice President Kamala Harris about Hurricane Milton, a source close to the governor told ABC News.
The DeSantis team believes the call from … [+2420 chars]"
